UID1,UID2
8017,8387
1642,779
2292,4615
124,4663
6982,8473
3725,4643
5795,5976
457,4942
3669,5302
191,2708
1625,4920
531,6472
3578,5500
2927,2959
2653,3063
8189,8832
2807,6411
299,4731
7302,7381
5456,6267
6824,7488
2443,2926
7460,7707
6995,8105
2679,5765
1000,4013
1185,578
541,617
7111,7761
7122,8804
543,6178
1882,4319
4702,6507
1774,526
2327,4032
4643,5974
6698,6699
3406,5111
6323,6526
5001,6321
5121,5954
7803,7997
3110,6269
2409,5903
5403,6270
3678,3700
7413,8005
1182,3076
3011,5385
2338,861
1034,5156
1371,4469
8054,8071
3356,3365
6256,894
5177,5208
1624,868
1598,5640
6513,6553
604,6607
2327,6335
1000,642
3435,489
3549,4039
2524,2927
5129,989
111,6445
1207,5799
7436,8751
1024,5148
7525,8359
6768,8045
1182,4844
2562,5103
2380,6574
1761,975
4508,6539
3739,6245
7540,7845
2881,2886
4212,4396
4095,879
7301,8100
1638,1785
3275,5688
2721,2960
5553,717
4547,5867
7301,7810
7033,7931
5851,5859
1624,2605
1670,2598
5982,6583
1846,5583
7167,7532
2675,6115
6618,989
3254,4963
7915,8191
2547,3839
2982,3630
7084,8658
6695,6704
7621,7982
7458,8139
6712,8612
2559,4523
5093,5458
7794,8769
3291,4077
7541,8088
7316,7838
4333,5790
4855,6605
5033,5494
2448,6592
4866,4892
262,5563
4013,5673
4620,5000
1004,647
2917,3322
3705,3791
3871,5504
7762,8401
3365,5550
7890,8489
7432,8802
7677,8653
7635,7668
7625,8447
3085,5177
2525,4024
4013,4357
3186,4013
1481,6227
5042,910
1624,6526
1488,4932
4294,5531
7381,7624
250,3046
3668,3691
2787,5736
8249,8276
1364,6325
3399,3591
1454,5296
7071,7663
4095,948
2966,7182
234,4508
233,637
2556,2869
5170,661
5382,6331
1622,2926
5797,6087
7691,7713
2567,5038
6774,8667
3269,6564
1498,488
1849,6428
4289,5367
2926,6185
5919,6180
2580,3427
7764,8094
3069,5374
3211,532
1653,868
6783,8843
6821,7739
5652,6508
2243,2566
208,4945
5123,6410
6794,8365
5994,6129
7344,8180
6465,6556
6780,7681
7184,8245
5208,6636
6786,7069
2645,5367
315,897
4013,4196
3026,4848
6233,989
1497,5103
4013,747
6698,8257
7066,895
1743,6260
1365,4726
5102,5667
1435,5187
5274,736
1588,4013
3459,5986
7089,7161
2759,6882
354,6267
3365,6545
333,989
7055,8796
7426,8530
8149,8802
1959,5867
7153,7769
1653,2605
6070,933
7628,7846
2327,3860
186,2948
8047,8079
3628,6297
7901,8578
3968,5140
285,6296
2520,4659
1785,842
1023,5845
1492,5912
3957,558
5513,6459
7493,8473
1390,6681
210,4346
3160,4147
7802,8021
3080,4618
611,6177
4132,6207
7165,7356
7639,7664
3382,6004
3459,6286
2557,4121
2148,4953
6755,7723
3203,751
1016,2245
5861,6929
3754,4013
8116,8564
6695,6696
2190,4891
4013,6212
502,758
7084,7982
8501,8821
2534,4200
1653,6526
2606,6497
3861,5340
1737,382
4066,5400
7634,8177
7804,8034
3477,3794
8261,8783
1288,2135
297,5012
2218,3806
1816,914
2199,545
3046,5182
7166,7916
2557,6034
3415,5370
8409,8850
6718,8583
1407,8826
3399,7927
1703,2524
6053,6225
1163,6605
4291,6125
431,6400
7568,8385
6645,6686
1794,3303
6828,8118
1268,1513
4161,6484
1443,2798
7867,8636
5480,6225
3569,4407
1785,843
6753,8657
2816,736
4030,6952
4048,5423
2758,774
7666,7694
1785,5871
3738,5867
4134,5029
4333,765
2914,4376
2181,2878
2345,5204
7541,8141
7895,8664
5261,6892
8261,8810
3128,3459
1785,3744
7847,8820
7471,8100
7009,7541
1566,6280
2924,6595
1539,3303
1330,4549
2426,7410
1382,2606
8527,8553
3734,4333
2752,5211
5880,6914
1371,2292
5211,6127
2668,3101
1820,5307
7520,7955
6736,7668
6794,7068
3766,976
399,6916
1371,498
3521,5447
4333,5352
6832,7773
3254,5755
2929,4220
2335,6962
2130,5787
7253,8133
311,989
2235,4664
3307,3399
3170,4063
8057,8587
1433,1963
3567,5047
3426,4013
7071,8784
2926,5227
210,4353
298,6477
4372,5583
2270,898
1785,6293
4013,5999
3459,3829
5867,616
8116,8139
2582,5867
7058,8815
2729,4316
4417,5395
7940,7966
5182,6121
3848,4052
2116,3763
7644,8770
1239,5799
1514,4643
1172,1537
5877,722
1042,6394
3278,6539
5030,5690
2438,3240
6808,8812
3669,420
1892,6126
3711,4918
285,3900
5867,6550
4039,5770
1743,3814
2151,989
4128,8290
7325,8219
1242,6394
8255,8472
7193,8364
7367,7580
4956,5578
3386,903
4285,5390
515,5912
203,958
8018,8550
7642,7970
2508,5995
2209,4549
7302,7407
2926,5104
4948,6606
2195,2752
7483,8859
3835,6962
4643,5454
2669,5790
7914,8505
3430,6290
7505,8584
3228,728
2320,4130
3586,3852
