Author Name,Author ID,UID
a.f.m.s.;,aiub_author_1224,188
shakil,aiub_author_1225,189
m.m.n.;,aiub_author_1226,190
m.m.;,aiub_author_1227,191
m.m.u.;,aiub_author_1228,192
s.b.;,aiub_author_1229,193
khairul,aiub_author_123,194
sonok,aiub_author_1230,195
rahman,aiub_author_1231,196
sabbir,aiub_author_1232,55
h.m.,aiub_author_1233,197
h.m.,aiub_author_1233,197
nurakmal,aiub_author_1235,198
mamun,aiub_author_1236,14
sarker,aiub_author_1237,63
sohrab,aiub_author_1238,199
faheemullah,aiub_author_1239,200
rahimi,aiub_author_124,201
siddiqui,aiub_author_1240,202
tanweer,aiub_author_1241,203
quwsar,aiub_author_1242,204
hamid,aiub_author_1243,205
monowar,aiub_author_1244,206
abdullah-al-wadud,aiub_author_1245,207
muhammad,aiub_author_1246,208
rashedul,aiub_author_1247,209
watanobe,aiub_author_1248,210
sujoy,aiub_author_1249,211
bairagi,aiub_author_125,212
aklima,aiub_author_1250,213
islam,aiub_author_1251,214
faris,aiub_author_1252,215
muhammad,aiub_author_1253,208
ohi,aiub_author_1255,216
mahmud,aiub_author_1258,40
muhammad,aiub_author_1259,208
ullah,aiub_author_126,184
hussen,aiub_author_1260,217
mridha,aiub_author_1261,218
kamruddin,aiub_author_1262,219
rashedul,aiub_author_1263,209
jong-myon,aiub_author_1264,220
mohsin,aiub_author_1265,221
saifur,aiub_author_1266,222
junayed,aiub_author_1267,223
manjurul,aiub_author_1268,72
mazedul,aiub_author_1269,224
mohsin,aiub_author_127,221
marjia,aiub_author_1270,225
wadud,aiub_author_1272,226
mridha,aiub_author_1273,218
s.,aiub_author_1275,43
s.,aiub_author_1275,43
kim,aiub_author_1276,227
kim,aiub_author_1276,227
justin,aiub_author_1277,228
aneem,aiub_author_1278,229
ohi,aiub_author_1279,216
ohi,aiub_author_1279,216
sarwar,aiub_author_128,230
quwsar,aiub_author_1280,204
dongsu,aiub_author_1281,231
ferdous,aiub_author_1282,232
jafor,aiub_author_1283,233
sajjadul,aiub_author_1284,35
dhiraj,aiub_author_1285,234
vivek,aiub_author_1286,235
shovan,aiub_author_1287,236
rakib,aiub_author_1289,237
abdullah-al-wadud,aiub_author_1290,207
farisa,aiub_author_1291,238
rayhan,aiub_author_1292,239
kwabena,aiub_author_1293,240
sharmin,aiub_author_1294,241
maeno,aiub_author_1295,242
ken-ichi,aiub_author_1296,176
hossaina,aiub_author_1297,243
siddikib,aiub_author_1298,244
eliasa,aiub_author_1299,245
dunren,aiub_author_13,246
hafijur,aiub_author_130,247
university,aiub_author_1303,248
gwangju,aiub_author_1304,249
sungjin,aiub_author_1306,250
soundharrajan,aiub_author_1307,251
jaekook,aiub_author_1308,252
vaiyapurisoundharrajan,aiub_author_1309,253
soriful,aiub_author_131,254
jeonggeunjoaseokhunkimavinodmathewayang-kooksunbjaekookkima,aiub_author_1310,255
hoque,aiub_author_1311,65
asiful,aiub_author_1312,256
chowdhury,aiub_author_1313,9
munaly,aiub_author_1314,257
abdul,aiub_author_1315,44
anwarul,aiub_author_1316,258
anannya,aiub_author_1317,259
mosaddeq,aiub_author_1318,260
kamrun,aiub_author_1319,261
khair,aiub_author_132,262
sohidul,aiub_author_1320,263
debajyoti,aiub_author_1321,264
maleque,aiub_author_1322,265
kumari,aiub_author_1323,266
kumari,aiub_author_1323,266
lee,aiub_author_1324,267
lee,aiub_author_1324,267
choi,aiub_author_1326,268
choi,aiub_author_1326,268
k.,aiub_author_1327,269
k.,aiub_author_1327,269
ashraf,aiub_author_1328,270
tarannum,aiub_author_1329,271
hossain,aiub_author_133,17
mohammad,aiub_author_1330,32
shakhawat,aiub_author_1331,272
majumder,aiub_author_1333,273
fahim,aiub_author_1334,33
nusrat,aiub_author_1335,274
mohaimen-bin-noor,aiub_author_1336,275
authors:,aiub_author_1337,276
asraf,aiub_author_1338,277
rahman,aiub_author_1339,196
shahnaj,aiub_author_134,278
shawkat,aiub_author_1341,279
mohammad,aiub_author_1343,32
muhammad,aiub_author_1344,208
gollam,aiub_author_1345,280
saiful,aiub_author_1346,281
mahmud,aiub_author_1347,40
kamal,aiub_author_1348,282
abhijit,aiub_author_1349,283
rahman,aiub_author_135,196
abhishek,aiub_author_1350,284
suman,aiub_author_1351,285
sandip,aiub_author_1352,286
chandra,aiub_author_1353,287
susenjit,aiub_author_1354,288
mukhopadhyay,aiub_author_1355,289
ayesha,aiub_author_1356,13
ayesha,aiub_author_1356,13
