Author Name,Author ID
Md. Rezaul Islam Md. Didarul Islam Sujon,nsu_author_381
Rumman Nasir,nsu_author_382
Mahbube Mozammel Ibne Habib,nsu_author_383
Majedul Islam Nomaan,nsu_author_384
Jayasree Baidya,nsu_author_385
Nixon Dutta,nsu_author_386
Joyeta Saha,nsu_author_387
Faysal Sarker and Hasan U. Zaman,nsu_author_388
Sarfaraz Ahmed,nsu_author_389
Tahsin Sadia,nsu_author_390
Mahir Ashab Ahmed Kushal,nsu_author_391
Tanzilur Rahman,nsu_author_392
Saadman Shahid Chowdhury,nsu_author_393
Atiar Talukdar,nsu_author_394
Ashik Mahmud,nsu_author_395
M. Mubarak Hossain,nsu_author_396
Saif Mahmood,nsu_author_397
Sadat Hossain and Iftekharul Shovon,nsu_author_398
Tarek Ahmed Khan,nsu_author_399
Shakila Reza Falgunee,nsu_author_400
GM Shaheedur Rashid and Fahim Hossain Talukder,nsu_author_401
Md. Solaiman Chowdhury,nsu_author_402
Md. Abu Osman,nsu_author_403
Sifat Rezwan,nsu_author_404
Wasit Ahmed,nsu_author_405
Mahrin Alam Mahia,nsu_author_406
Nusrat Jahan Prithee Mohammad Rezaul Islam,nsu_author_407
Yesin Iqbal Asif,nsu_author_408
Jahir Rahman,nsu_author_409
Saurav Das Shuvo,nsu_author_410
Al Imran,nsu_author_411
Md. Mujtabir Alam ; Mahamud Hussain ; Md. Ashik Amin ; Mohammad Monirujjaman Khan,nsu_author_412
J. M. Shafi Ferdous,nsu_author_413
Nahian,nsu_author_414
Ghani,nsu_author_415
Uddin,nsu_author_416
Baized,nsu_author_417
Islam,nsu_author_418
S. M. Hasibul Hoq,nsu_author_419
Sharmina Zaman,nsu_author_420
A S M Baized Shuvo,nsu_author_421
Fatin Hasnath Chowdhury,nsu_author_422
Taki Uddin,nsu_author_423
Mohammad Jawad Ibne Ishaque,nsu_author_424
Tamim,nsu_author_425
Saad Akash,nsu_author_426
Saifullah Basher Shohel,nsu_author_427
Swapnil Sayan Saha,nsu_author_428
Nazia Nawar Hassan,nsu_author_429
Chowdhury Erfan Shourov,nsu_author_430
Abdullah Al Mahmood and Noor E Alam Siddique,nsu_author_431
Ali Adib Arnab,nsu_author_432
Sheikh Sadia Afrin,nsu_author_433
F.M. Fahad and Hasan U. Zaman,nsu_author_434
Asif Alam Joy,nsu_author_435
Khan Mohammed Akash and Safwan Talukder Fayad,nsu_author_436
Mehal Zaman Talukder,nsu_author_437
Sheikh Shadab Towqir,nsu_author_438
Arifur Rahman Remon,nsu_author_439
Sariat Sultana Nova,nsu_author_440
Aaphsaarah Rahman,nsu_author_441
Fyaz Hasan Chowdhury,nsu_author_442
Naushaba Zerin,nsu_author_443
Md. Hasin Jamal,nsu_author_444
Joytu Khisha,nsu_author_445
Takanori Ichiki,nsu_author_446
Farah,nsu_author_447
T.,nsu_author_448
Shelim,nsu_author_449
R.,nsu_author_450
Zaman,nsu_author_451
M.,nsu_author_452
Hassan,nsu_author_453
M. M.,nsu_author_454
& Alam,nsu_author_455
D,nsu_author_456
Md Ehtesham Adnan,nsu_author_457
Noor Muhammad Dastagir,nsu_author_458
Jafrina Jabin,nsu_author_459
Ahmed Masud Chowdhury,nsu_author_460
Mohammed Jawad Ishaque,nsu_author_461
Jamir Uddin Akanda,nsu_author_462
Abu Shaid Tuhel,nsu_author_463
Benazir Bashar Riddhe,nsu_author_464
Monirul Islam,nsu_author_465
ASM Rashedul Huq,nsu_author_466
Rezwan Bin Kashem,nsu_author_467
Nadil Hassan,nsu_author_468
Baized Shuvo,nsu_author_469
Tasfiqul Ghani,nsu_author_470
Saad Ahmed Akash,nsu_author_471
Rakib Ahsan,nsu_author_472
Hasan U Zaman,nsu_author_473
Rashik Ishrak Nahian,nsu_author_474
SM Hasibul Hoq,nsu_author_475
Shuvashis Ghosh,nsu_author_476
Rifat Ahmed Hassan,nsu_author_477
Sian Iftekher Galib,nsu_author_478
AK Azad,nsu_author_479
Fatin Hasnath Chowdhury ; Rashik Nahian ; Taki Uddin ; Sifat Rezwan ; Monirujjaman Khan ; Abu Sufian ; Nazmul Hassan,nsu_author_480
Jawad Ishaque,nsu_author_481
